,Film,Year,IMDB,Metascore,IMDB votes
608,Вечное сияние чистого разума,2004,8.3,89,853886
609,Убить Билла 2,2004,8.0,83,644320
610,Суперсемейка,2004,8.0,90,624767
611,Малышка на миллион,2004,8.1,86,603689
612,Человек-паук 2,2004,7.3,83,517377
613,Гарри Поттер и узник Азкабана,2004,7.9,82,510554
614,Зомби по имени Шон,2004,7.9,76,486136
615,Превосходство Борна,2004,7.7,73,416664
616,Столкновение,2004,7.8,69,407307
617,Шрек 2,2004,7.2,75,397120
618,Соучастник,2004,7.5,71,343101
619,Машинист,2004,7.7,61,339647
620,Отель 'Руанда',2004,8.1,79,321007
621,Авиатор,2004,7.5,77,317458
622,Телеведущий: Легенда о Роне Бургунди,2004,7.2,63,316445
623,Бункер,2004,8.2,82,314878
624,Дрянные девчонки,2004,7.0,66,312444
625,Хеллбой: Герой из пекла,2004,6.8,72,297422
626,Ходячий замок,2004,8.2,80,295710
627,Перед закатом,2004,8.0,90,217266
628,Страна садов,2004,7.4,67,203115
629,Близость,2004,7.2,65,194851
630,Волшебная страна,2004,7.7,67,193406
631,Наполеон Динамит,2004,6.9,64,189681
632,Лемони Сникет: 33 несчастья,2004,6.8,62,188634
633,Гарольд и Кумар уходят в отрыв,2004,7.1,64,175752
634,Вечное сияние чистого разума,2004,8.3,89,853886
635,Убить Билла 2,2004,8.0,83,644320
636,Суперсемейка,2004,8.0,90,624767
637,Малышка на миллион,2004,8.1,86,603689
638,Человек-паук 2,2004,7.3,83,517377
639,Гарри Поттер и узник Азкабана,2004,7.9,82,510554
640,Зомби по имени Шон,2004,7.9,76,486136
641,Превосходство Борна,2004,7.7,73,416664
642,Столкновение,2004,7.8,69,407307
643,Шрек 2,2004,7.2,75,397120
644,Соучастник,2004,7.5,71,343101
645,Машинист,2004,7.7,61,339647
646,Отель 'Руанда',2004,8.1,79,321007
647,Авиатор,2004,7.5,77,317458
648,Телеведущий: Легенда о Роне Бургунди,2004,7.2,63,316445
649,Бункер,2004,8.2,82,314878
650,Дрянные девчонки,2004,7.0,66,312444
651,Хеллбой: Герой из пекла,2004,6.8,72,297422
652,Ходячий замок,2004,8.2,80,295710
653,Перед закатом,2004,8.0,90,217266
654,Страна садов,2004,7.4,67,203115
655,Близость,2004,7.2,65,194851
656,Волшебная страна,2004,7.7,67,193406
657,Наполеон Динамит,2004,6.9,64,189681
658,Лемони Сникет: 33 несчастья,2004,6.8,62,188634
659,Гарольд и Кумар уходят в отрыв,2004,7.1,64,175752
660,Вечное сияние чистого разума,2004,8.3,89,853886
661,Убить Билла 2,2004,8.0,83,644320
662,Суперсемейка,2004,8.0,90,624767
663,Малышка на миллион,2004,8.1,86,603689
664,Человек-паук 2,2004,7.3,83,517377
665,Гарри Поттер и узник Азкабана,2004,7.9,82,510554
666,Зомби по имени Шон,2004,7.9,76,486136
667,Превосходство Борна,2004,7.7,73,416664
668,Столкновение,2004,7.8,69,407307
669,Шрек 2,2004,7.2,75,397120
670,Соучастник,2004,7.5,71,343101
671,Машинист,2004,7.7,61,339647
672,Отель 'Руанда',2004,8.1,79,321007
673,Авиатор,2004,7.5,77,317458
674,Телеведущий: Легенда о Роне Бургунди,2004,7.2,63,316445
675,Бункер,2004,8.2,82,314878
676,Дрянные девчонки,2004,7.0,66,312444
677,Хеллбой: Герой из пекла,2004,6.8,72,297422
678,Ходячий замок,2004,8.2,80,295710
679,Перед закатом,2004,8.0,90,217266
680,Страна садов,2004,7.4,67,203115
681,Близость,2004,7.2,65,194851
682,Волшебная страна,2004,7.7,67,193406
683,Наполеон Динамит,2004,6.9,64,189681
684,Лемони Сникет: 33 несчастья,2004,6.8,62,188634
685,Гарольд и Кумар уходят в отрыв,2004,7.1,64,175752
686,Вечное сияние чистого разума,2004,8.3,89,853886
687,Убить Билла 2,2004,8.0,83,644320
688,Суперсемейка,2004,8.0,90,624767
689,Малышка на миллион,2004,8.1,86,603689
690,Человек-паук 2,2004,7.3,83,517377
691,Гарри Поттер и узник Азкабана,2004,7.9,82,510554
692,Зомби по имени Шон,2004,7.9,76,486136
693,Превосходство Борна,2004,7.7,73,416664
694,Столкновение,2004,7.8,69,407307
695,Шрек 2,2004,7.2,75,397120
696,Соучастник,2004,7.5,71,343101
697,Машинист,2004,7.7,61,339647
698,Отель 'Руанда',2004,8.1,79,321007
699,Авиатор,2004,7.5,77,317458
700,Телеведущий: Легенда о Роне Бургунди,2004,7.2,63,316445
701,Бункер,2004,8.2,82,314878
702,Дрянные девчонки,2004,7.0,66,312444
703,Хеллбой: Герой из пекла,2004,6.8,72,297422
704,Ходячий замок,2004,8.2,80,295710
705,Перед закатом,2004,8.0,90,217266
706,Страна садов,2004,7.4,67,203115
707,Близость,2004,7.2,65,194851
708,Волшебная страна,2004,7.7,67,193406
709,Наполеон Динамит,2004,6.9,64,189681
710,Лемони Сникет: 33 несчастья,2004,6.8,62,188634
711,Гарольд и Кумар уходят в отрыв,2004,7.1,64,175752
712,Вечное сияние чистого разума,2004,8.3,89,853886
713,Убить Билла 2,2004,8.0,83,644320
714,Суперсемейка,2004,8.0,90,624767
715,Малышка на миллион,2004,8.1,86,603689
716,Человек-паук 2,2004,7.3,83,517377
717,Гарри Поттер и узник Азкабана,2004,7.9,82,510554
718,Зомби по имени Шон,2004,7.9,76,486136
719,Превосходство Борна,2004,7.7,73,416664
720,Столкновение,2004,7.8,69,407307
721,Шрек 2,2004,7.2,75,397120
722,Соучастник,2004,7.5,71,343101
723,Машинист,2004,7.7,61,339647
724,Отель 'Руанда',2004,8.1,79,321007
725,Авиатор,2004,7.5,77,317458
726,Телеведущий: Легенда о Роне Бургунди,2004,7.2,63,316445
727,Бункер,2004,8.2,82,314878
728,Дрянные девчонки,2004,7.0,66,312444
729,Хеллбой: Герой из пекла,2004,6.8,72,297422
730,Ходячий замок,2004,8.2,80,295710
731,Перед закатом,2004,8.0,90,217266
732,Страна садов,2004,7.4,67,203115
733,Близость,2004,7.2,65,194851
734,Волшебная страна,2004,7.7,67,193406
735,Наполеон Динамит,2004,6.9,64,189681
736,Лемони Сникет: 33 несчастья,2004,6.8,62,188634
737,Гарольд и Кумар уходят в отрыв,2004,7.1,64,175752
738,Бэтмен: Начало,2005,8.2,70,1238091
739,V значит Вендетта,2005,8.2,62,979348
740,Город грехов,2005,8.0,74,724652
741,Звёздные войны. Эпизод 3: Месть Ситхов,2005,7.5,68,672441
742,Гарри Поттер и кубок огня,2005,7.7,81,508921
743,Чарли и шоколадная фабрика,2005,6.6,72,402588
744,Война миров,2005,6.5,73,398205
745,Кинг Конг,2005,7.2,81,375947
746,Сорокалетний девственник,2005,7.1,73,375315
747,"Хроники Нарнии: Лев, Колдунья и волшебный шкаф",2005,6.9,75,349580
748,Незваные гости,2005,6.9,64,320917
749,Горбатая гора,2005,7.7,87,308131
750,Оружейный барон,2005,7.6,62,283705
751,Миссия Серенити,2005,7.8,74,275304
752,Царство небесное,2005,7.2,63,256180
753,Гордость и предубеждение,2005,7.8,82,237899
754,Труп невесты,2005,7.3,83,230323
755,Переступить черту,2005,7.8,72,222190
756,Оправданная жестокость,2005,7.4,81,215288
757,Здесь курят,2005,7.6,71,208478
758,Поцелуй навылет,2005,7.5,72,206800
759,Мюнхен,2005,7.5,74,202909
760,Матч Поинт,2005,7.6,72,196552
761,Спуск,2005,7.2,71,190519
762,Автостопом по галактике,2005,6.8,63,180816
763,Нокдаун,2005,8.0,69,169696
764,Бэтмен: Начало,2005,8.2,70,1238091
765,V значит Вендетта,2005,8.2,62,979348
766,Город грехов,2005,8.0,74,724652
767,Звёздные войны. Эпизод 3: Месть Ситхов,2005,7.5,68,672441
768,Гарри Поттер и кубок огня,2005,7.7,81,508921
769,Чарли и шоколадная фабрика,2005,6.6,72,402588
770,Война миров,2005,6.5,73,398205
771,Кинг Конг,2005,7.2,81,375947
772,Сорокалетний девственник,2005,7.1,73,375315
773,"Хроники Нарнии: Лев, Колдунья и волшебный шкаф",2005,6.9,75,349580
774,Незваные гости,2005,6.9,64,320917
775,Горбатая гора,2005,7.7,87,308131
776,Оружейный барон,2005,7.6,62,283705
777,Миссия Серенити,2005,7.8,74,275304
778,Царство небесное,2005,7.2,63,256180
779,Гордость и предубеждение,2005,7.8,82,237899
780,Труп невесты,2005,7.3,83,230323
781,Переступить черту,2005,7.8,72,222190
782,Оправданная жестокость,2005,7.4,81,215288
783,Здесь курят,2005,7.6,71,208478
784,Поцелуй навылет,2005,7.5,72,206800
785,Мюнхен,2005,7.5,74,202909
786,Матч Поинт,2005,7.6,72,196552
787,Спуск,2005,7.2,71,190519
788,Автостопом по галактике,2005,6.8,63,180816
789,Нокдаун,2005,8.0,69,169696
790,Бэтмен: Начало,2005,8.2,70,1238091
791,V значит Вендетта,2005,8.2,62,979348
792,Город грехов,2005,8.0,74,724652
793,Звёздные войны. Эпизод 3: Месть Ситхов,2005,7.5,68,672441
794,Гарри Поттер и кубок огня,2005,7.7,81,508921
795,Чарли и шоколадная фабрика,2005,6.6,72,402588
796,Война миров,2005,6.5,73,398205
797,Кинг Конг,2005,7.2,81,375947
798,Сорокалетний девственник,2005,7.1,73,375315
799,"Хроники Нарнии: Лев, Колдунья и волшебный шкаф",2005,6.9,75,349580
800,Незваные гости,2005,6.9,64,320917
801,Горбатая гора,2005,7.7,87,308131
802,Оружейный барон,2005,7.6,62,283705
803,Миссия Серенити,2005,7.8,74,275304
804,Царство небесное,2005,7.2,63,256180
805,Гордость и предубеждение,2005,7.8,82,237899
806,Труп невесты,2005,7.3,83,230323
807,Переступить черту,2005,7.8,72,222190
808,Оправданная жестокость,2005,7.4,81,215288
809,Здесь курят,2005,7.6,71,208478
810,Поцелуй навылет,2005,7.5,72,206800
811,Мюнхен,2005,7.5,74,202909
812,Матч Поинт,2005,7.6,72,196552
813,Спуск,2005,7.2,71,190519
814,Автостопом по галактике,2005,6.8,63,180816
815,Нокдаун,2005,8.0,69,169696
816,Бэтмен: Начало,2005,8.2,70,1238091
817,V значит Вендетта,2005,8.2,62,979348
818,Город грехов,2005,8.0,74,724652
819,Звёздные войны. Эпизод 3: Месть Ситхов,2005,7.5,68,672441
820,Гарри Поттер и кубок огня,2005,7.7,81,508921
821,Чарли и шоколадная фабрика,2005,6.6,72,402588
822,Война миров,2005,6.5,73,398205
823,Кинг Конг,2005,7.2,81,375947
824,Сорокалетний девственник,2005,7.1,73,375315
825,"Хроники Нарнии: Лев, Колдунья и волшебный шкаф",2005,6.9,75,349580
826,Незваные гости,2005,6.9,64,320917
827,Горбатая гора,2005,7.7,87,308131
828,Оружейный барон,2005,7.6,62,283705
829,Миссия Серенити,2005,7.8,74,275304
830,Царство небесное,2005,7.2,63,256180
831,Гордость и предубеждение,2005,7.8,82,237899
832,Труп невесты,2005,7.3,83,230323
833,Переступить черту,2005,7.8,72,222190
834,Оправданная жестокость,2005,7.4,81,215288
835,Здесь курят,2005,7.6,71,208478
836,Поцелуй навылет,2005,7.5,72,206800
837,Мюнхен,2005,7.5,74,202909
838,Матч Поинт,2005,7.6,72,196552
839,Спуск,2005,7.2,71,190519
840,Автостопом по галактике,2005,6.8,63,180816
841,Нокдаун,2005,8.0,69,169696
842,Бэтмен: Начало,2005,8.2,70,1238091
843,V значит Вендетта,2005,8.2,62,979348
844,Город грехов,2005,8.0,74,724652
845,Звёздные войны. Эпизод 3: Месть Ситхов,2005,7.5,68,672441
846,Гарри Поттер и кубок огня,2005,7.7,81,508921
847,Чарли и шоколадная фабрика,2005,6.6,72,402588
848,Война миров,2005,6.5,73,398205
849,Кинг Конг,2005,7.2,81,375947
850,Сорокалетний девственник,2005,7.1,73,375315
851,"Хроники Нарнии: Лев, Колдунья и волшебный шкаф",2005,6.9,75,349580
852,Незваные гости,2005,6.9,64,320917
853,Горбатая гора,2005,7.7,87,308131
854,Оружейный барон,2005,7.6,62,283705
855,Миссия Серенити,2005,7.8,74,275304
856,Царство небесное,2005,7.2,63,256180
857,Гордость и предубеждение,2005,7.8,82,237899
858,Труп невесты,2005,7.3,83,230323
859,Переступить черту,2005,7.8,72,222190
860,Оправданная жестокость,2005,7.4,81,215288
861,Здесь курят,2005,7.6,71,208478
862,Поцелуй навылет,2005,7.5,72,206800
863,Мюнхен,2005,7.5,74,202909
864,Матч Поинт,2005,7.6,72,196552
865,Спуск,2005,7.2,71,190519
866,Автостопом по галактике,2005,6.8,63,180816
867,Нокдаун,2005,8.0,69,169696
868,Бэтмен: Начало,2005,8.2,70,1238091
869,V значит Вендетта,2005,8.2,62,979348
870,Город грехов,2005,8.0,74,724652
871,Звёздные войны. Эпизод 3: Месть Ситхов,2005,7.5,68,672441
872,Гарри Поттер и кубок огня,2005,7.7,81,508921
873,Чарли и шоколадная фабрика,2005,6.6,72,402588
874,Война миров,2005,6.5,73,398205
875,Кинг Конг,2005,7.2,81,375947
876,Сорокалетний девственник,2005,7.1,73,375315
877,"Хроники Нарнии: Лев, Колдунья и волшебный шкаф",2005,6.9,75,349580
878,Незваные гости,2005,6.9,64,320917
879,Горбатая гора,2005,7.7,87,308131
880,Оружейный барон,2005,7.6,62,283705
881,Миссия Серенити,2005,7.8,74,275304
882,Царство небесное,2005,7.2,63,256180
883,Гордость и предубеждение,2005,7.8,82,237899
884,Труп невесты,2005,7.3,83,230323
885,Переступить черту,2005,7.8,72,222190
886,Оправданная жестокость,2005,7.4,81,215288
887,Здесь курят,2005,7.6,71,208478
888,Поцелуй навылет,2005,7.5,72,206800
889,Мюнхен,2005,7.5,74,202909
890,Матч Поинт,2005,7.6,72,196552
891,Спуск,2005,7.2,71,190519
892,Автостопом по галактике,2005,6.8,63,180816
893,Нокдаун,2005,8.0,69,169696
894,Отступники,2006,8.5,85,1117483
895,Престиж,2006,8.5,66,1108291
896,Лабиринт Фавна,2006,8.2,98,589107
897,Казино Рояль,2006,8.0,80,553356
898,Кровавый алмаз,2006,8.0,64,474942
899,Дитя человеческое,2006,7.9,84,440610
900,Маленькая Мисс Счастье,2006,7.8,80,420198
901,В погоне за счастьем,2006,8.0,64,419707
902,Дьявол носит Prada,2006,6.9,62,350587
903,Тачки,2006,7.1,73,344156
904,Иллюзионист,2006,7.6,68,343187
905,Борат,2006,7.3,89,339550
906,Жизнь других,2006,8.4,89,335910
907,Не пойман - не вор,2006,7.6,76,321645
908,Миссия: невыполнима 3,2006,6.9,66,315334
909,Вавилон,2006,7.4,69,278761
910,Апокалипсис,2006,7.8,68,276858
911,Возвращение Супермена,2006,6.0,72,264475
912,Персонаж,2006,7.6,67,211314
913,Рокки Бальбоа,2006,7.1,63,196046
914,Последний король Шотландии,2006,7.7,74,169066
915,Делай ноги,2006,6.4,77,162261
916,Рики Бобби: Король дороги,2006,6.6,66,159245
917,Лесная братва,2006,6.7,67,152103
918,Письма с Иводзимы,2006,7.9,89,148879
919,Идиократия,2006,6.6,66,136524
920,Отступники,2006,8.5,85,1117483
921,Престиж,2006,8.5,66,1108291
922,Лабиринт Фавна,2006,8.2,98,589107
923,Казино Рояль,2006,8.0,80,553356
924,Кровавый алмаз,2006,8.0,64,474942
925,Дитя человеческое,2006,7.9,84,440610
926,Маленькая Мисс Счастье,2006,7.8,80,420198
927,В погоне за счастьем,2006,8.0,64,419707
928,Дьявол носит Prada,2006,6.9,62,350587
929,Тачки,2006,7.1,73,344156
930,Иллюзионист,2006,7.6,68,343187
931,Борат,2006,7.3,89,339550
932,Жизнь других,2006,8.4,89,335910
933,Не пойман - не вор,2006,7.6,76,321645
934,Миссия: невыполнима 3,2006,6.9,66,315334
935,Вавилон,2006,7.4,69,278761
936,Апокалипсис,2006,7.8,68,276858
937,Возвращение Супермена,2006,6.0,72,264475
938,Персонаж,2006,7.6,67,211314
939,Рокки Бальбоа,2006,7.1,63,196046
940,Последний король Шотландии,2006,7.7,74,169066
941,Делай ноги,2006,6.4,77,162261
942,Рики Бобби: Король дороги,2006,6.6,66,159245
943,Лесная братва,2006,6.7,67,152103
944,Письма с Иводзимы,2006,7.9,89,148879
945,Идиократия,2006,6.6,66,136524
946,Отступники,2006,8.5,85,1117483
947,Престиж,2006,8.5,66,1108291
948,Лабиринт Фавна,2006,8.2,98,589107
949,Казино Рояль,2006,8.0,80,553356
950,Кровавый алмаз,2006,8.0,64,474942
951,Дитя человеческое,2006,7.9,84,440610
952,Маленькая Мисс Счастье,2006,7.8,80,420198
953,В погоне за счастьем,2006,8.0,64,419707
954,Дьявол носит Prada,2006,6.9,62,350587
955,Тачки,2006,7.1,73,344156
956,Иллюзионист,2006,7.6,68,343187
957,Борат,2006,7.3,89,339550
958,Жизнь других,2006,8.4,89,335910
959,Не пойман - не вор,2006,7.6,76,321645
960,Миссия: невыполнима 3,2006,6.9,66,315334
961,Вавилон,2006,7.4,69,278761
962,Апокалипсис,2006,7.8,68,276858
963,Возвращение Супермена,2006,6.0,72,264475
964,Персонаж,2006,7.6,67,211314
965,Рокки Бальбоа,2006,7.1,63,196046
966,Последний король Шотландии,2006,7.7,74,169066
967,Делай ноги,2006,6.4,77,162261
968,Рики Бобби: Король дороги,2006,6.6,66,159245
969,Лесная братва,2006,6.7,67,152103
970,Письма с Иводзимы,2006,7.9,89,148879
971,Идиократия,2006,6.6,66,136524
972,Отступники,2006,8.5,85,1117483
973,Престиж,2006,8.5,66,1108291
974,Лабиринт Фавна,2006,8.2,98,589107
975,Казино Рояль,2006,8.0,80,553356
976,Кровавый алмаз,2006,8.0,64,474942
977,Дитя человеческое,2006,7.9,84,440610
978,Маленькая Мисс Счастье,2006,7.8,80,420198
979,В погоне за счастьем,2006,8.0,64,419707
980,Дьявол носит Prada,2006,6.9,62,350587
981,Тачки,2006,7.1,73,344156
982,Иллюзионист,2006,7.6,68,343187
983,Борат,2006,7.3,89,339550
984,Жизнь других,2006,8.4,89,335910
985,Не пойман - не вор,2006,7.6,76,321645
986,Миссия: невыполнима 3,2006,6.9,66,315334
987,Вавилон,2006,7.4,69,278761
988,Апокалипсис,2006,7.8,68,276858
989,Возвращение Супермена,2006,6.0,72,264475
990,Персонаж,2006,7.6,67,211314
991,Рокки Бальбоа,2006,7.1,63,196046
992,Последний король Шотландии,2006,7.7,74,169066
993,Делай ноги,2006,6.4,77,162261
994,Рики Бобби: Король дороги,2006,6.6,66,159245
995,Лесная братва,2006,6.7,67,152103
996,Письма с Иводзимы,2006,7.9,89,148879
997,Идиократия,2006,6.6,66,136524
998,Отступники,2006,8.5,85,1117483
999,Престиж,2006,8.5,66,1108291
1000,Лабиринт Фавна,2006,8.2,98,589107
1001,Казино Рояль,2006,8.0,80,553356
1002,Кровавый алмаз,2006,8.0,64,474942
1003,Дитя человеческое,2006,7.9,84,440610
1004,Маленькая Мисс Счастье,2006,7.8,80,420198
1005,В погоне за счастьем,2006,8.0,64,419707
1006,Дьявол носит Prada,2006,6.9,62,350587
1007,Тачки,2006,7.1,73,344156
1008,Иллюзионист,2006,7.6,68,343187
1009,Борат,2006,7.3,89,339550
1010,Жизнь других,2006,8.4,89,335910
1011,Не пойман - не вор,2006,7.6,76,321645
1012,Миссия: невыполнима 3,2006,6.9,66,315334
1013,Вавилон,2006,7.4,69,278761
1014,Апокалипсис,2006,7.8,68,276858
1015,Возвращение Супермена,2006,6.0,72,264475
1016,Персонаж,2006,7.6,67,211314
1017,Рокки Бальбоа,2006,7.1,63,196046
1018,Последний король Шотландии,2006,7.7,74,169066
1019,Делай ноги,2006,6.4,77,162261
1020,Рики Бобби: Король дороги,2006,6.6,66,159245
1021,Лесная братва,2006,6.7,67,152103
1022,Письма с Иводзимы,2006,7.9,89,148879
1023,Идиократия,2006,6.6,66,136524
1024,Отступники,2006,8.5,85,1117483
1025,Престиж,2006,8.5,66,1108291
1026,Лабиринт Фавна,2006,8.2,98,589107
1027,Казино Рояль,2006,8.0,80,553356
1028,Кровавый алмаз,2006,8.0,64,474942
1029,Дитя человеческое,2006,7.9,84,440610
1030,Маленькая Мисс Счастье,2006,7.8,80,420198
1031,В погоне за счастьем,2006,8.0,64,419707
1032,Дьявол носит Prada,2006,6.9,62,350587
1033,Тачки,2006,7.1,73,344156
1034,Иллюзионист,2006,7.6,68,343187
1035,Борат,2006,7.3,89,339550
1036,Жизнь других,2006,8.4,89,335910
1037,Не пойман - не вор,2006,7.6,76,321645
1038,Миссия: невыполнима 3,2006,6.9,66,315334
1039,Вавилон,2006,7.4,69,278761
1040,Апокалипсис,2006,7.8,68,276858
1041,Возвращение Супермена,2006,6.0,72,264475
1042,Персонаж,2006,7.6,67,211314
1043,Рокки Бальбоа,2006,7.1,63,196046
1044,Последний король Шотландии,2006,7.7,74,169066
1045,Делай ноги,2006,6.4,77,162261
1046,Рики Бобби: Король дороги,2006,6.6,66,159245
1047,Лесная братва,2006,6.7,67,152103
1048,Письма с Иводзимы,2006,7.9,89,148879
1049,Идиократия,2006,6.6,66,136524
1050,Старикам тут не место,2007,8.1,91,796114
1051,Я легенда,2007,7.2,65,652445
1052,Рататуй,2007,8.0,96,602927
1053,Ультиматум Борна,2007,8.0,85,588007
1054,Трансформеры,2007,7.0,61,579400
1055,В диких условиях,2007,8.1,73,540310
1056,SuperПерцы,2007,7.6,76,497782
1057,Нефть,2007,8.2,93,481195
1058,Джуно,2007,7.4,81,474863
1059,Гарри Поттер и орден Феникса,2007,7.5,71,473401
1060,Типа крутые легавые,2007,7.8,81,439681
1061,Зодиак,2007,7.7,78,415073
1062,Крепкий орешек 4.0,2007,7.1,69,377902
1063,Гангстер,2007,7.8,76,375607
1064,Немножко беременна,2007,6.9,85,338578
1065,"Суини Тодд, демон-парикмахер с Флит-стрит",2007,7.3,83,330118
1066,Тринадцать друзей Оушена,2007,6.9,62,305384
1067,Симпсоны в кино,2007,7.3,80,298910
1068,Поезд на Юму,2007,7.7,76,276448
1069,28 недель спуcтя,2007,7.0,78,247601
1070,1408,2007,6.8,64,246960
1071,Звездная пыль,2007,7.6,66,244208
1072,"Прощай, детка, прощай",2007,7.6,72,239609
1073,Искупление,2007,7.8,85,235061
1074,Пекло,2007,7.2,64,224819
1075,Порок на экспорт,2007,7.6,82,218825
1076,Паранормальное явление,2007,6.3,68,212648
1077,Паранойя,2007,6.8,62,211372
1078,Перелом,2007,7.2,68,175802
1079,Грайндхаус,2007,7.5,77,173390
1080,Поезд на Дарджилинг. Отчаянные путешественники,2007,7.2,67,170380
1081,Зачарованная,2007,7.0,75,169549
1082,Старикам тут не место,2007,8.1,91,796114
1083,Я легенда,2007,7.2,65,652445
1084,Рататуй,2007,8.0,96,602927
1085,Ультиматум Борна,2007,8.0,85,588007
1086,Трансформеры,2007,7.0,61,579400
1087,В диких условиях,2007,8.1,73,540310
1088,SuperПерцы,2007,7.6,76,497782
1089,Нефть,2007,8.2,93,481195
1090,Джуно,2007,7.4,81,474863
1091,Гарри Поттер и орден Феникса,2007,7.5,71,473401
1092,Типа крутые легавые,2007,7.8,81,439681
1093,Зодиак,2007,7.7,78,415073
1094,Крепкий орешек 4.0,2007,7.1,69,377902
1095,Гангстер,2007,7.8,76,375607
1096,Немножко беременна,2007,6.9,85,338578
1097,"Суини Тодд, демон-парикмахер с Флит-стрит",2007,7.3,83,330118
1098,Тринадцать друзей Оушена,2007,6.9,62,305384
1099,Симпсоны в кино,2007,7.3,80,298910
1100,Поезд на Юму,2007,7.7,76,276448
1101,28 недель спуcтя,2007,7.0,78,247601
1102,1408,2007,6.8,64,246960
1103,Звездная пыль,2007,7.6,66,244208
1104,"Прощай, детка, прощай",2007,7.6,72,239609
1105,Искупление,2007,7.8,85,235061
1106,Пекло,2007,7.2,64,224819
1107,Порок на экспорт,2007,7.6,82,218825
1108,Паранормальное явление,2007,6.3,68,212648
1109,Паранойя,2007,6.8,62,211372
1110,Перелом,2007,7.2,68,175802
1111,Грайндхаус,2007,7.5,77,173390
1112,Поезд на Дарджилинг. Отчаянные путешественники,2007,7.2,67,170380
1113,Зачарованная,2007,7.0,75,169549
1114,Старикам тут не место,2007,8.1,91,796114
1115,Я легенда,2007,7.2,65,652445
1116,Рататуй,2007,8.0,96,602927
1117,Ультиматум Борна,2007,8.0,85,588007
1118,Трансформеры,2007,7.0,61,579400
1119,В диких условиях,2007,8.1,73,540310
1120,SuperПерцы,2007,7.6,76,497782
1121,Нефть,2007,8.2,93,481195
1122,Джуно,2007,7.4,81,474863
1123,Гарри Поттер и орден Феникса,2007,7.5,71,473401
1124,Типа крутые легавые,2007,7.8,81,439681
1125,Зодиак,2007,7.7,78,415073
1126,Крепкий орешек 4.0,2007,7.1,69,377902
1127,Гангстер,2007,7.8,76,375607
1128,Немножко беременна,2007,6.9,85,338578
1129,"Суини Тодд, демон-парикмахер с Флит-стрит",2007,7.3,83,330118
1130,Тринадцать друзей Оушена,2007,6.9,62,305384
1131,Симпсоны в кино,2007,7.3,80,298910
1132,Поезд на Юму,2007,7.7,76,276448
1133,28 недель спуcтя,2007,7.0,78,247601
1134,1408,2007,6.8,64,246960
1135,Звездная пыль,2007,7.6,66,244208
1136,"Прощай, детка, прощай",2007,7.6,72,239609
1137,Искупление,2007,7.8,85,235061
1138,Пекло,2007,7.2,64,224819
1139,Порок на экспорт,2007,7.6,82,218825
1140,Паранормальное явление,2007,6.3,68,212648
1141,Паранойя,2007,6.8,62,211372
1142,Перелом,2007,7.2,68,175802
1143,Грайндхаус,2007,7.5,77,173390
1144,Поезд на Дарджилинг. Отчаянные путешественники,2007,7.2,67,170380
1145,Зачарованная,2007,7.0,75,169549
1146,Старикам тут не место,2007,8.1,91,796114
1147,Я легенда,2007,7.2,65,652445
1148,Рататуй,2007,8.0,96,602927
1149,Ультиматум Борна,2007,8.0,85,588007
1150,Трансформеры,2007,7.0,61,579400
1151,В диких условиях,2007,8.1,73,540310
1152,SuperПерцы,2007,7.6,76,497782
1153,Нефть,2007,8.2,93,481195
1154,Джуно,2007,7.4,81,474863
1155,Гарри Поттер и орден Феникса,2007,7.5,71,473401
1156,Типа крутые легавые,2007,7.8,81,439681
1157,Зодиак,2007,7.7,78,415073
1158,Крепкий орешек 4.0,2007,7.1,69,377902
1159,Гангстер,2007,7.8,76,375607
1160,Немножко беременна,2007,6.9,85,338578
1161,"Суини Тодд, демон-парикмахер с Флит-стрит",2007,7.3,83,330118
1162,Тринадцать друзей Оушена,2007,6.9,62,305384
1163,Симпсоны в кино,2007,7.3,80,298910
1164,Поезд на Юму,2007,7.7,76,276448
1165,28 недель спуcтя,2007,7.0,78,247601
1166,1408,2007,6.8,64,246960
1167,Звездная пыль,2007,7.6,66,244208
1168,"Прощай, детка, прощай",2007,7.6,72,239609
1169,Искупление,2007,7.8,85,235061
1170,Пекло,2007,7.2,64,224819
1171,Порок на экспорт,2007,7.6,82,218825
1172,Паранормальное явление,2007,6.3,68,212648
1173,Паранойя,2007,6.8,62,211372
1174,Перелом,2007,7.2,68,175802
1175,Грайндхаус,2007,7.5,77,173390
1176,Поезд на Дарджилинг. Отчаянные путешественники,2007,7.2,67,170380
1177,Зачарованная,2007,7.0,75,169549
1178,Старикам тут не место,2007,8.1,91,796114
1179,Я легенда,2007,7.2,65,652445
1180,Рататуй,2007,8.0,96,602927
1181,Ультиматум Борна,2007,8.0,85,588007
1182,Трансформеры,2007,7.0,61,579400
1183,В диких условиях,2007,8.1,73,540310
1184,SuperПерцы,2007,7.6,76,497782
1185,Нефть,2007,8.2,93,481195
1186,Джуно,2007,7.4,81,474863
1187,Гарри Поттер и орден Феникса,2007,7.5,71,473401
1188,Типа крутые легавые,2007,7.8,81,439681
1189,Зодиак,2007,7.7,78,415073
1190,Крепкий орешек 4.0,2007,7.1,69,377902
1191,Гангстер,2007,7.8,76,375607
1192,Немножко беременна,2007,6.9,85,338578
1193,"Суини Тодд, демон-парикмахер с Флит-стрит",2007,7.3,83,330118
1194,Тринадцать друзей Оушена,2007,6.9,62,305384
